,0_x,0_y
0,[],Kein Liebeslied (T.Raumschmiere Remix)+Andreas Dorau
1,[],Cry For Me Baby (Album Version)+The Robert Cray Band
2,[],Mother Earth (Album Version)+Eric Burdon & War
3,[],I Was The First (LP Version)+Conway Twitty
4,"[""Der Universal Soldier, Urban Abteilung\nBushido, meine Jungs und ich stürmen in dein Heim und\nIn der Hand hab ich ein brennendes B\nDamit mache ich dir heute Nacht ein Branding, OK?\nIch bin wie Al Pachino, nenn' mich ey Bushido,\nIch glaube nächstes Jahr sehe ich mich selbst im Kino\nKingsize in das Yayo, ich fresse eure Kugeln\nUnd die Kids suchen meine Texte jetzt bei Google\nMama weint, denn die Bullen klingeln an der Tür\nErsguterjunge wie ich meine Bande führ'\nDer Universal Soldier, sensationell\nGuck mich an ich schalte wie ein Gangsta das Geld\nGuten Appetit, das hier ist kein Pumpernickel\nDu kannst mich besuchen wenn ich deine Mutter ficke\nMit eiserner Faust teil ich jetzt aus\nDu Fettsack machst dich immer noch peinlich du Clown\nBerlin ich bin der City-Hai…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Universal Soldier+Bushido
5,[],Necessitem pastilles+Herois de la Katalunya Interior
6,"[""M.C.:\nI know what you're thinking\nYou wonder why I chose her\nOut of all the ladies in the world\nThat's just a first impression\nWhat good's a first impression\nIf you knew her like I do,\nIt would change your point of view-\nIf you could see her\nIf you could see her thru my eyes,\nYou wouldn't wonder at all.\nIf you could see her thru my eyes,\nI guarantee you would fall\n(Like I did)\nWhen we're in public together,\nI hear society moan,\nBut if they could see her thru my eyes,\nMaybe they'd leave us alone.\nHow can I speak of her virtues?\nI don't know where to begin.\nShe's clever, she's smart, she reads music,\nShe doesn't smoke or drink gin.\n(Like I do)\nYet when we're walking together,\nThey sneer if I'm holding her hand,\nBut if they could see her thru my eyes,\nMaybe they'd all…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch""]",If You Could See Her+Joel Grey
7,"['They say that God is great\nThey say that God is love and I believe them\nDont fear the random fate\nI trust the hand of the Almighty and the infinite\nHis truth is marching on\nHis truth is marching on\nHis truth is marching\nHis truth is marching on\nHis truth is marching on\nLet me know your enormity\nAnd my tininess\nAnd help me see your infinity\nAnd my finiteness\nAnd Im fucking starved for love\nI deeply need to feel connection with the infinite\nI want the nourishment\nI need to drink it just like water, and it will sustain me\nHis truth is marching on\nHis truth is marching on\nHis truth is marching\nHis truth is marching on\nHis truth is marching on\nLet me know your enormity\nAnd my tininess\nAnd help me see your infinity\nAnd my finiteness\nMy heart is yearning now\nMy arms are…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind']",His Truth Is Marching On+Mike Doughty
8,[],My Devotion+The King Sisters
9,[],At The Ball_ That's All (From 'Way Out West') (1999 Digital Remaster)+Laurel & Hardy
10,[],Road to the Funeral+Shantel
11,"[""Noi, ragazzi di oggi, noi\nCon tutto il mondo davanti a noi\nViviamo nel sogno di poi\nNoi, siamo diversi ma tutti uguali\nAbbiam bisogno di un paio d'ali\nE stimoli eccezionali\nPuoi farci piangere\nMa non puoi farci cedere\nNoi, siamo il fuoco sotto la cenere\nPuoi non comprendere\nQualcuno ci può offendere\nNoi, noi sappiamo in cosa credere\nDevi venire con noi\nSiamo i ragazzi di oggi noi\nDai coloriamo questa città\nE poi vedrai che ti piacerà\nSiamo noi\nSiamo i ragazzi di oggi noi\nI veri amici che tu non hai\nE tutti insieme si può cantare\nRagazzi di oggi\nRagazzi di oggi, noi\nNoi sappiamo in cosa credere\nRagazzi di oggi, noi\nRagazzi di oggi, noi\nSiamo il fuoco sotto la cenere\nNon farti prendere\nDa questo eterno attendere\nNoi, siamo quello che può succedere\nNon fare spegnere\nLa…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Noi Ragazzi Di Oggi+Luis Miguel
12,[],4/20/02+Pearl Jam
13,"[""Hooh-hooh-ooh-hooh\nDay after day, I'd love to say it\nTime and again, I'd love to say it\nJust when you need it the mo-ost\nThere's something you wanted to hear\nYes, just when you need me the most (ah-hah)\nI'll be waiting for you\nI (I) - can't wait to see you\nI (I) - can't wait to see you-ou\nNight after night - I wish for nothin'\nDream after dream - nothin' but somethin'\nJust when you need it the mo-ost\nThere's something you wanted to hear\nYes, just when you need me the most (ah-hah)\nI'll be waiting for you\nI, I can't, no I can't wait, can't wait to see you\nI, I can't, no I can't wait, can't wait to see you-ou (ooh-ooh-hooh)\nCount up to three, oh-oh-hoh\nWaitin' for me, oh-oh-hoh\nI just can't wait, (no-oh-no) wait to see you\nJust when you need it the most (day…\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch""]",Can't Wait To See You+Eurogliders
14,[],Baby's Got It's Own Way+Eddy Meets Yannah
15,[],Se Ba Ho+Orchestre Poly-Rythmo de Cotonou
16,[],Scoop+Marcus Miller
17,[],Broken Luck+tim scott
18,[],Under a Northern Moon+Lorrie Matheson
19,"['Lui baffi scuri\nLui birra a cena\nGuarda lontano\nTiene un ricordo per la mano\nLui sa capire il tuo motore\nMa parla male d\'amore\nLui è un aviatore\nSopra due ali di fatica e sudore\nPassa l\'estate\nSopra due cuori messi lì ad asciugare\nSu una città\nChe dorme e poi\nEsce la sera a mangiare\nFra gente distratta\nChe ferisce senza farlo apposta\nSotto un cielo di nuvole rosse\nLui scrive ""Ti amo"" con il suo aeroplano\nPer me che giuro è l\'ultima volta\nPer te che tutto passa e non ti tocca\nVola più in alto\nSopra la gente al ristorante là\nSopra risate\nDentro i fiori comprati per un\'amante\nE pensa a te\nA dove sarai\nChi ti perdona te ne fa tante\nCaro aviatore\nPrestami un\'ala per scappare\nUna notte e poi basta\nUn amore…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch']",Aviatore+Renzo Zenobi
20,[],Lil' Boys In Da Hood+Kris Kross
21,"[""London River, oh, the London River\nAll the love, I have I'll give her\nLondon River, oh, the London River\nThat's the river for me\nFirst time that I set my eyes upon her\nI tell no lie, upon my honor\nSights and sounds that made my heart a shiver\nThen I saw her on the London River, oh\nLondon River, oh, the London River\nAll the love, I have I'll give her\nLondon River, oh, the London River\nThat's the river for me\nSigned to my master in the 1930's\nThe hours were long and the work was dirty\nOut in the Indies where the rum is brewed\nHad me a drop and got me kidneys too\nLondon River, oh, the London River\nAll the love, I have I'll give her\nLondon River, oh, the London River\nThat's the river for me\nSigned for a while on the old rasover\nSome of them the stewards they'll…\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",London River+Fairport Convention
22,[],Infinite Soul+The Grip Weeds
23,"[""Well I went down to leon's\nTo see that baby of mine\nYeah I went downtown\nTo see that baby of mine\nLord the joint was jumping\nAnd everyone was hitting that wine, wine, wine\nDrinking wine all the time\nWill make you crazy and lose your mind\nWhen they got goin' it was Saturday night\nAnd they kept on drinkin' till broad daylight\nThose cats were gone, gone, gone\nGone, gone, gone\nGone, gone, gone\nGone, gone, gone\nHonky tonkin' all night long\nGone, gone, gone\nAin't no use in sleepin' in the summertime [Repeat: x2]\nIf you want to get to sleep\nYou best start messin'\nWith the wine, wine, wine\nDrinking wine all the time\nWill make you crazy and lose your mind\nWhen I got goin' it was four o'clock…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Gone Gone Gone+Wayne Hancock
24,"['Minne värit meiltä haalistui?\nMinne kauniit muistot hautautui?\nSanat alkoi tehdä vankilaa\nRakkaus hiljaa kuolemaa\nValehtelen, jos väitän\nOlevani hänen, vain häntä varten\nValehtelen, kun puhun\nSiksi olen useimmiten hiljaa\nVielä yhden kerran hymyilen\nKai tää on ilta viimeinen\nLämpö haihtuu ilta-aurinkoon…\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch']",Valehtelen+Indica
25,[],Trim (Album Version)+John Scofield
26,[],Pierce The Darkness+Mammatus
27,[],Taina+Solistiyhtye Suomi
28,['No more a thing I knew... transformed - transfigured\nTranscended... in an endless progress cycle\nDNA metamorphosis... of the dying cells\nInto something that will last... last forever\nImmortal... my soul... alone under...\nThe cracking skies... on trembling Earth\nClosing the eye... of blinding Sun\nWHO AM I? - a question... already answered\nI am who I am...…\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind'],Sothis+Vader
29,[],Albaela+Mekaal Hasan Band
30,"[""The Trumpets of Jericho\nCame raining down on Cathcart Street\nAnd the walls of terraced houses\nCame crashing round our feet\nWe didn't want to send our children\nTo foreign lands to fight a war\nBut then I seen young Billy Kavanagh\nLying dead outside my door\nThey're bringing in conscription boys\nThe writing's on the wall\nAll those black-haired Irish boys answering the call\nIt may not be for King & Country\nBut we'll make them taste defeat\nCos the Trumpets of Jericho came raining down on Cathcart Street\nThey gave Our Kid a rifle\nJoseph Patrick McAteer\nA welter-weight, just five foot eight\nAnd only eighteen years\nMcLaughlin & McGuigan\nYeah Flyboots said he'd do his best\nAnd the Orange boys of Conway Street\nThey were taken with the rest\nIt may not be for King & country…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch""]",Trumpets Of Jericho+The Bible Code Sundays
31,"[""Benatone Spectrum, Pacman, Commodore\nZX-81, Donkey Kong, fucking high score\nPush it to the limit, couldn't push it any more\nWanna be a fucking robot after smoking loads of draw\nBought a speak and spell, stuck it to my chest\nAnd wrap some fucking tinfoil to my head and to my vest\nWalking down the street, my next door neighbors not impressed\nI'm a robot and buying ten fags is my quest\nEggsie's gone too far, he thinks he's Robocop\nHe's covered in tinfoil and he's got matching metal socks\nWe tried to sedate him but he fucking escaped\nThe man robot myth starts to escalate\nHe tries to sell himself standing in curries\nBut if the police turn up, he runs in a fucking hurry\nHe tries to plug himself in the mains with his nob\nAnd when he's fully recharged he goes out…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Half Man Half Machine+Goldie Lookin Chain
32,[],It's Alright Now (Ep13)+Liam Lynch
33,"[""Read the vision map the system soon to look into the mind\nRediscover one another from abnormal points in time\nFascination wish away to depart before they find\nGet defamed in isolation two plus one negates divine\nFeed the vicious escalation never felt such close connection\nFeel the fever patch persuasion\nNews print news peak nevermind\nSuffocation and delusion from what angle see the truth in\nAt an angle point of friction free fall tip off destiny\nI've got a fist full of money I'm down with a twist\nThere's plenty of ways no way to resist\nEvery little thing is gonna be fine\nWhat I like is gonna be mine\nI've got a fist full of money I'm high at risk\nThere's plenty of ways I couldn't resist\nSix billion souls and one urge to live\nI've got a fist full of money…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",That's A Plenty+Freefall
34,[],Let's Take The Long Way Around The World+Kenny Rogers And Dottie West
35,[],On A Rainy Day+Kati Mac
36,[],Sundew+Fern Knight
37,[],Non Skeddo Flies Again+Lenny Bruce
38,"[""There's nothing left for me to say\nThe thought of end is killing me\nI guess it's time for my demise\nThere's no more time\nI'm left aside\nThere's no more pain\nThere's no more tears\nThere's no more feeling\nNo more fear\nThe darkness creeps upon my skin\nThese wounds won't heal\nThis is my sin\nThis is the black abyss\nMy life's apocalypse\nEternal suffering\nNo future for me to see\nThis is the black abyss\nExecutor of my soul\nThis darkness fills my eyes\nAnd I'm now left behind\nAs my life rots away\nI long the day of my decay\nI'll soon be there in death's grasp\nIt won't let go now I'm dead\nThis paranoia\nI can't last\nThese days are now my last\nThe sense of evil is closing in\nIt is a phobia that kills within\nThis is the black abyss\nMy life's…\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Black Abyss+Black Tide
39,[],Land Of Hope And Glory+Condemned 84
40,"[""Take me into hyperfaster, show me your love\nI'm gonna see it someday\nTake me into hyperfaster, show me your world\nI'm gonna be there someday\nTake me to the places where you've never been\nI'm gonna be there with you\nShow me all the things that you have never seen\nI'm gonna see them with you\nThe sun is rising, higher and higher again\nMy world keeps glowing, darker and darker, the end\nAsk me if the things i see become my dreams\nI know you see right through me\nLet me hear the thoughts that echo past your mind\nI know you'll share them with me\nThe sun is rising, higher and higher again\nMy world keeps glowing,…\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch""]",Hyperfaster+Sheavy
41,"[""Days pass me by just like moments\nThey're here and then they're gone\nFor good, for good\nI work so hard at where I'm going\nI wonder what I've missed\nI can't remember the last time\nI picked up the phone just to talk\nFor hours on end\nOr sent a birthday card un-belated\nMaybe I should slow down\nLife doesn't wait for us to get it right\nDay after night\nIt just goes on when it goes wrong\nIt goes and then it's gone\nSo I'm gonna do my best\nAnd make the most of it, avoid regrets\nTake a breath, realize\nTime is irreversible\nThis ain't no dress rehearsal\nI've always got a big to-do list\nOh, but there's so much more to do\nTo see I want to\nKnow that I didn't leave 'I love you's'\nTrapped within my heart\nThere won't always be another day to\nSay all the things you want to say\nSo…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Dress Rehearsal+Carolyn Dawn Johnson
42,[],Swallow The World+Anaal Nathrakh
43,[],Melody+Keystone
44,[],Quit Jivin'+Pearly Queen
45,"[""I'm trollin' food court for girls\nYeah, it's the best job in the world\nYeah, they know they're safe with me\nThey love my little mustache\nThey love a man in uniform, oh\nWith my sunglasses\nThey can't see what I'm really looking at\nAnd as they're walking by\nI whisper through my doughnut\nHey baby, baby, light that ass on fire\nHow long must this day go on\nI got to stand here two more hours\n'Til I punch the clock\nHow long must this day go on\nNo kid, they don't give me a gun\nI don't get paid enough to run\nSo you can call me what you want\nI'll be hanging at the checkout\nChecking out your girlfriend\nFigure out how she's going to fit all of that\nButt into that underwear, yeah, yeah\nHey girl, if you can't recall\nWhere you parked your daddy's car\nThen I could help you out\nAll…\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Rent A Cop+Ben Folds
46,"[""Watch it how I clean up\nWatch me how I clean up, ain't nobody realer\nI ain't into feelings, tell them boys just ease up\nJust came out the arena, now I put my feet up\nGyal dem moving eager, still I let 'em go\nI won't make a movie but I'll make a episode\nFlex a lil' summin on 'em just to let 'em know\nI swear I do the telling, so there ain't no getting told\nWhen I hear the money calling just know I'm involved\nStop it, money can't fit in my pocket\nTaking a flight just for shopping\nFor some Yves Saint Laurents and I copped it, yeah\nProfit, can't get enough and I love it\nSplit a bag that I get with my brothers\nPay the bills and the rest to my mama, yeah\nGettin' paid, check the views\n48 floor living, check the views\nNever taking L's, never lose\nThat statistically…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",This Is How It's Done+Chunk
47,"['Yo se que nunca te lo dije así\nA veces canto solo para mi\nSolo quisiera que me oigas ahora que sigo mi instinto\nEl instinto animal no fallara\nQuisiera hablarte pero sin hablar\nYo se que puedo hacer que tu me comprendas\nSi sigues mi juego\nYo quiero ser tu profe mejor dicho profesor\nEl que te enseñe del amor\nLo que sabes y disimulas\nQuisiera que me mientas cuando pregunte tu edad\nQuiero volverme tan vulgar\nVoy a engañarte tonta\nSolo para tocarte un poco!\nYa ves así nunca sabrás de mi\nMi fantasía me describe así\nEsa es la parte que no a visto nadie\nY que tu ahora conoces\nEs que te veo y es mi reacción\nEl pretender tener todo el control\nAprovecharme de ti me estimula\nApuntarte, mis trucos\nPercibo en que momento te comienzas a mojar\nY entonces no…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nFuente: LyricFind']",El Profe+Miranda!
48,[],Ruff 'n' tuff+SAÃ�K
49,[],Desde Cuando+Marco Antonio MuÃ±iz
50,[],Idle Time+Marc Ford
51,[],The C-Jack Jump+Cave Catt Sammy
52,"[""Heaven only knows where you've been\nBut I don't really need to know\nI know where you're gonna go\nOn my heart, where you're resting your head\nAnd you just look so beautiful\nIt's like you were an angel\nCan I stop the flow of time?\nCan I swim in your divine?\nCause I don't think I'd ever leave this place\nOh, turn the lights turn the lights down low\nYeah, now I'm feeling you breathing slow\n'Cause, baby, we're just reckless kids\nTrying to find an island in the flood\nOh, turn the lights turn the lights down low, oh\nMoonlight, mood lights, moves like J-Lo\nTell me what you want for me, I'll do it if you say so\n'Cause you're the only one for me, I'm never gonna say no\nI found me an angel, I can see it in your halo\nHave you ever dreamt what we could do?\nHave you ever…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch""]",Lights Down Low+Thomas Function
53,[],Caribou+Frank Black Francis
54,[],Sailor Song [Live in California 2006]+Regina Spektor
55,"[""I never won the spelling bee\nI could read people's energy\nListen to what have been said to me\nHeard the voices in elementary\nThat I wouldn't amount to anything\nOh girl, she used to vent to me\nLike, if we just had a nice house and a mortgage\nAnd a front lawn, and a fuckin' wedding ring\nI danced in paris\nI swam in oceans, felt the scales\nPut my cd in starbucks, it did not sell\nGet the cd out my car, turned it into myself\nThese piano keys hold some weight\nIn a bolo tie I escort my date\nShe ordered shrimp scampi on a porcelain plate\nThe accordion played, I put my fork in a steak\nAfternoons need a coffee boost\nAttitude needs a confidence boost\nYeah, I'm sort of the dude\nBut where's the self-esteem when the costumes removed?\nThanks for the invite, can't make it\nI…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Bolo+Toe
56,[],Where Jonah Gone+Lord Invader
57,[],Lookin' For Love+Charlie McCoy
58,[],Was Ganz Feines (Live)+Mediengruppe Telekommander
