,0_x,0_y
0,[],Subrunner+Kimito Lopez
1,"[""This one is dedicated for all the workers that work 9 to 5\nDo you want to party\nHey, it's Friday, let's party tonight\nIt's Friday, and I'm gonna party and get my groove on\nIt's Friday, and I'm gonna party till the break of dawn\nI did my work this week\nAnd baby I just got paid\nWanna go buy me a fresh pair of gators\nWith some of this money that I made\nMel Waiters on the radio\nSinging about the whiskey\nI think I'll go by the store\nTo get me a bottle so I can be ready\nTo get my groove on the dance floor\nMr. Dee Jay, can you play some Marvin Sease\nCan you…\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Friday+Sir Charles Jones
2,"[""I open my eyes, was that real or was I dreaming\nI don't hit the ground, but I'm falling forever\nI'm close to the edge and I want to just fly away\nTo silence the voices, is this the only way?\nI bring you my dreams that inspire imagination\nThey are nothing like yours, so I lock them away again\nI lie to myself and believe that I'm healing\nThe higher I climb, the longer I fall\nCrossing over burning bridges\nThere's nothing left of you inside my mind\nThe hourglass is long and empty\nThe time has come to break the chains of misery\nCrossing over burning bridges\nThere's nothing left of you inside my mind\nThe hourglass is long and empty\nThe time has come to break the chains of misery\nI remember skipping rocks across still waters\nAnd I remember chasing…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Relentless+John Arch
3,['Ya llego un nuevo dia\nNegra que me has guardado\nYa llego un nuevo dia\nNegra que me has guradado\nNunca yo te he olvidado\nLo juro vida mia\nNunca yo te he olvidado\nLo juro vida mia.\nPor eso le canto a mi morena\nQue tiene sabor a primavera\nPor eso le canto a mi morena\nQue tiene sabor a primavera.\nEl 22 de marzo\nEntra la primavera\nEl 22 de marzo\nEntra la primavera.\nEntra alegria a mi tierra\nYo adorare este canto\nEntra alegria a mi tierra\nYo adorare este canto.\nPor eso le canto a mi morena\nQue tiene sabor a primavera\nPor eso le canto a mi morena\nQue tiene sabor a primavera.\nTu eres en primavera\nLa mujer mas hermosa\nTu eres en primavera\nLa mujer mas hermosa\nQuiero de ti una cosa\nQue sea por vez primera\nQuiero de ti una cosa\nQue sea por vez primera.\nPor eso le canto a mi morena…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nFuente: Musixmatch'],La Primavera+Maracaibo 15
4,[],Karamawari+Recycler
5,[],Renew Me (Album Version)+Richard Smallwood
6,[],Meet Martin+Max Steiner
7,[],When You Need Someone+Men of Vizion
8,[],Poke+Gescom
9,[],Prudhomme Stomp+John Delafose
