,0_x,0_y
0,[],Bend My Bones+The Invaders
1,"[""Take down your tyrannic mask and speak out your leadership\nThe total reign you're seeking for, for full control you're reaching out\nRunning over civil life, use your mighty warriors\nTo take it all with your list, march with your battleforce\nUnifying goatherd beasts running infested demons\nParalyzing truths and rights in frozen dust you…\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch""]",March With Your Battleforce+Cataract
2,"['Hail H.I.M\nHail Jah Ta Fari, Hail Jah Ta Fari\nHail Him for everything which is good\nHail Him\nHail Him for food, Hail Him for Shelter\nHail Him for clothes, Hail Him for everythin,\nEverythin which is good\nHail Jah Ta fari, Hail Jah Ta fari\nBefore you go to your rest\nHail Him\nWhen you wake up and see the light\nHail Him\nHail Him without any apology\nHail His Imperial Majesty\nYou Hail Him\nHail Jah Ta Fari\nTa far I\nHail Him for guidance\nHail Him for protection\nHail Him for providance\nHail Him for everything\nEverything which is good\nHail Jah Ta fari\nHail Jah…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind']",Hail H.I.M.+Burning Spear
3,[],Plateado Sobre Plateado (Huellas En El Mar)+Mercedes Sosa
4,[],Codes+colonopenbracket
5,[],Running On Empty+Mickey Wynne
6,"[""I used to feel so cold and lonely\nDisillusioned from the past\nThe road I walked was rough and stoney\nLooking for affection that will last\nAnd I want it, and I feel it\nAnd I know you feel it too\nI am ready, can't deny it\nThere's nothing I can do\nThey say nothing lasts\nAnd that feelings run and hide\nBut my love will last forever and one night\nAnd through rain and stormy weather\nIn darkness and in light\nYou can count on me to be right by your side\nForever and one night\nAnother day, another morning\nI leave the darkest nights behind\n'Cause it might happen without warning\nSo I'm looking for the…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch""]",4 Ever and 1 Night+Andy Jay Powell
7,[],1000 Miles (LP Version)+Dwight Yoakam
8,"['Los bloques de cemento gris aquí y allá,\nDan la forma al decorado de mi ciudad.\nQuiero vivir en la ciudad.\nQuiero vivir en la ciudad.\nMe gusta estar rodeado de gente,\nGente que no conozco formando un ambiente,\nEn el que todos me miran y nadie me siente.\nQuiero vivir en la ciudad.\nQuiero vivir en la ciudad.\nAunque a la una no hay quien camine,\nAunque a las seis de la tarde no haya quien respire,\nAunque a las diez por la calle me juegue el pellejo.\nQuiero vivir en la ciudad.\nQuiero vivir en la ciudad.\nY no me marcharé jamás, no soy feliz,\nPero aquí están mis razones para vivir.\nQuiero vivir en la ciudad.\nQuiero vivir en la ciudad.\nMe gusta las luces de los coches,\nUn millón de guirnaldas decoran la…\n\n\n\n\n\n\nFuente: Musixmatch']",Quiero Vivir En La Ciudad+Mecano
9,[],Luminous (Album)+The Spinanes
10,"[""The humans are breeding for what they'll be bleeding\nWhen machines takes control we've lost our soul\nTechnology took it's place set back the human race\nWhat was to be our future divides our human culture\nThe Screen took our privacy Bios is the premier key\nFor profit and great fame who is to blame?\nThe humans are breeding for what they'll be bleeding\nWhen machines takes control we've lost our soul\nTechnology took it's place set back the human race\nWhat was to be our future divides our human culture\nThe Screen took our privacy. Bios is the premier key.\nFor profit and great fame who is to blame?\nThe humans are breeding for what…\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch""]",Devon+Cataract
11,[],I'm Good+Clipse
12,"[""I ran into her on computer camp\n(Was that in 84?)\nNot sure\nI had my commodore 64\nHad to score\n(Not with that dirty tramp)\nShe's not a tramp\nHer name is Judy\n(That's a nice name)\nYeah she's a nice girl\n(Big deal. Did you get in her pants?)\nShe's not that kind of a girl, booger\n(Why, does she have a penis?)\nSeen as supremus\nYou better know she's a genus and a Venus\n(Tell me more; was it love at first sight?)\nThat's right this was god-given grace with a face you could praise\n(Tell me more; did you put up the fight?)\nI don't think so, but before we tour the core the stall let's all explore a more\n(Computer cabin war)\nThat's right\nI said before we explore the amore on my story do a dora\n(Computer cabin war)\nSeen as supremus\nYou better know she's a genus and a Venus…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch""]",Computer Camp Love+Datarock
13,[],Game Of War+Warrant
14,[],Kilometer mellan oss+Sibiria
15,[],Put That Woman First (Album Version)+Jaheim
16,[],Flech for the machine+Radium
17,[],Don't Start Crying Now+The Count Bishops
18,[],Way In My Brain 2009+Sl2
19,['Disponible en\nDeezer\nGoogle Play Música\nArtista: Dave Evans\nÁlbum: Thunder Down Under\nFecha de lanzamiento: 2015\nGénero: Rock'],Hot Nights+Dave Evans & Thunder Down Under
20,"[""I was in born in a taxi cab\nThe driver cut the chord while the meter was running\nA babies voice cryin' up to city lights\nThe paper ran a photo next day\nMe and my momma and the cabbie all smilin'\nAnd even the governor called to say\nHe said\nAin't it the strangest world\nIts wild and its dangerous\nIts soft as a pearl\nBring on the changes\nAin't it a beautiful world\nA beautiful world\nA friend of mine he took an old jetliner\nHe and his girl were tryin' to figure out their future\nThey headed off on some weekend getaway\nThe plane got hit by a wall of thunder\nThe fuselage bent like a wishbone nearly breakin'\nHe fell to his knees in the aisle and proposed that day\nAin't it the strangest world\nIts wild and its dangerous\nIts soft as a pearl\nBring on the changes\nAin't it a…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Beautiful World+Ellis Paul
21,[],The Bush in Bloom/Drogheda Bay/Jenny's Chickens+Matt Molloy
22,[],That Was Swedish+Cotton Candy
23,"['Come my love with me\nAcross the sea,\nReturn to paradise!\nAll in life worthwhile\nIs on that isle,\nReturn to paradise!\nVelvet moon above,\nEvil turns to love,\nLove evermore!\nCome with me and find\nYour peace of mind,\nReturn to paradise!\nVelvet…\n\n\n\n\nTraducir al español\nFuente: LyricFind']",Return To Paradise+Shirley Horn
24,[],Blossoms In The Street+Wallis Bird
25,"[""Ci sei riuscita\nPiù pensieri non hai\nE forse è anche giusto\nPer quello che dai\nOra rispetta i tuoi riti sprecati\nE compi evoluzioni tra gli invitati\nIn quei cataloghi\nChe hai consultato\nC'era già tutto preventivato\nUn fiore rosso\nIn cambio di te\nMa per quei tuoi fianchi\nUn prezzo non c'è\nTi muovi bene per questa città\nE attraversi le strade\nCon molta destrezza\nMa negli specchi che tieni nascosti\nTi vedi nuda in una foresta\nI tuoi segreti…\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Ci Sei Riuscita+Edoardo Bennato
26,[],Maurice's Vibe+Hardrive
27,[],Crooked Mile+The Mutton Birds
28,[],The Night Has a Thousand Eyes (Album Version)+Gary Burton And Stephane Grapelli
29,[],Murky+Moving Ninja
30,[],10 In 01+Members Of Mayday
31,"['God, you are my god\nAnd I will ever praise you\nOh god, you are my god\nAnd I will ever praise you\nI will seek you in the morning\nI will learn to walk in your ways\nAnd step by step you will lead me\nAnd I will follow you all of my days\nGod, you are my god\nAnd I will ever praise you\nOh god, you are my god\nAnd I will ever praise you\nI will seek you in the morning\nI will learn to walk in your ways\nAnd step by step you will lead me\nAnd I will follow you all of my days\nYeah yeah\nHallelujah\nWe honour you oh Jesus,\nAnd forever we will sing\nHallelujah\nFor you alone are worthy\nAnd forever we will sing\nHallelujah\nHallelujah…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch']",Step By Step (O God You Are My God)+Sheila Walsh
32,[],She Tries+Harvest
33,[],This Christmas+Nils Landgren
