,0_x,0_y
0,[],What Am I Doing Here With You+Twinkle
1,"['On m\'avait dit\n""Te pose pas trop de questions\nTu sais petit, c\'est la vie qui t\'répond\nÀ quoi ça sert\nDe vouloir tout savoir?\nRegarde en l\'air et vois c\'que tu peux voir""\nOn m\'avait dit\n""Faut écouter son père""\nLe mien a rien dit\nQuand il s\'est fait la paire\nMaman m\'a dit\n""T\'es trop petit pour comprendre""\nEt j\'ai grandi\nAvec une place à prendre\nQui a le droit\nQui a le droit\nQui a le droit d\'faire ça\nÀ un enfant qui croit vraiment\nC\'que disent les grands\nOn passe sa vie\nÀ dire merci\nMerci à qui, à quoi\nÀ faire la pluie\nEt le beau temps\nPour des enfants\nÀ qui l\'on ment\nOn m\'avait dit\n""Les hommes sont tous pareils\nY a plusieurs dieux, mais y a qu\'un seul soleil""\nOui mais, l\'soleil il brille ou bien il brûle\nTu meurs de soif ou bien tu bois des bulles\nÀ toi aussi,…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind']",Qui A Le Droit+Patrick Bruel
2,[],Tucker Avenue Stomp+Monty Alexander
3,[],Mud Mud+Rolf Harris
4,"[""I'm living in a future\nA future of law\nI want to know\nWhose law can it be?\nA future for you and I\nI'm living in a world\nIn a world of law\nWhose law can it be?\nWhose law is it anyway?\nWhose law is it anyway?\nWhose law is it anyway?\nWhose law?\nWhose law?\nCome on\nCome on\nMove it\nMove it now\nCome on\nMove it\nWhose law?\nWhose law is it anyway?\nI want to know\nCome on\nWhose law?\nI'm living in a future\nA future of law\nI want to know\nWhose law can it be?\nA future for you and I\nI'm living in a world\nIn a world of law\nWhose law…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch""]",Whose Law (Is It Anyway?)+Guru Josh
5,[],Lundgren Crucifixion (Album Version)+Integrity
6,[],Rhythm Of Life (Album Version)+PAULA COLE
7,[],Berlin Nights+Beatfanatic
8,[],Crazy Woman+Flat Duo Jets
9,[],Mouldy Old Dough+Lieutenant Pigeon
10,[],La Tentacion+Hamlet
11,"[""Oh no now not again how?\nYou got me jumpin' my skin old friend\nYou can't believe it you can't conceive it\nWhy would we want to do things different?\nThe whole scene is a setup to be so clean\nThe whole scene is a setup to mislead\nYou got the wrong ones, outnumber right ones\nThey ain't got enough ground to stand on\nWhere you lead them, they will follow\nSo fill them up with words that won't leave them hollow\nYou see the preacher slinging praises\nHe…\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Whole Scene+The Dingees
12,[],Low Battery+Jaga Jazzist
13,[],Angels+Rhythm Masters
14,"['Unterschutzen sie nicht die macht\nIn my lie and in my name\nWe use to die just for the game\nIs it real or is it fun\nHear my scream, just for you done\nReceive my message realise the code\nInterrogate the passion mode\nOn explored fear we can fill the mix\nLong time on earth will kill the 6\nKill the 6\nKill the 6\nGet the total sphere\nSomething that they call body music\nNearly the same music\nShock the people\nIn my…\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch']",Kill The 6+Plastic Noise Experience
15,[],Down The Road Apiece+Manfred Mann
16,"[""Life is a moment in space\nWhen the dream is gone\nIt's a lonelier place\nI kiss the morning goodbye\nBut down inside you know\nWe never know why\nThe road is narrow and long\nWhen eyes meet eyes\nAnd the feeling is strong\nI turn away from the wall\nI stumble and fall\nBut I give you it all\nI am a woman in love\nAnd I do anything\nTo get you into my world\nAnd hold you within\nIt's a right I defend\nOver and over again\nWhat do I do?\nWith you eternally mine\nIn love there is\nNo measure of time\nWe planned it all at the start\nThat you and I\nLive in each other's hearts\nWe may be oceans away\nYou feel my love\nI hear what you say\nNo truth is ever a lie\nI stumble and fall\nBut I give you it all\nI am a woman in love\nAnd I do anything\nTo get you into my world\nAnd hold you…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Woman In Love+Ricardo
17,[],It's New For Every Moment+XU WEI
18,[],Eleven (Live in Japan 1982)+Jaco Pastorius
19,"[""The rock is on\nEs ist Tatbestand, dass dieses Abendland\nDie Geschichte immer hat bestimmt\nEs ist angesagt auch immer mehr gefragt\nWer die Männer dieses Westens sind\nDass die guten Kräfte dieser Welt sich sammeln\nJener, der daran noch glaubt, der irrt\nIch habe nachgedacht, die Nacht damit verbracht\nIt's gettin' more and more, it's gettin' weird\nYou got the Holy Land (Holy Land)\nGot tomorrow land (tomorrow land)\nYou got a madhouse land (madhouse land)\nYou got any, any, any kind of land\nMänner des Westens sind so\nMänner des Westens sind so\nMänner des Westens sind so sind so, sind so\nIntercool\nMänner des Westens sind so\nMänner des Westens sind so\nMänner des Westens sind so sind so, sind so\nRestlos intercool\nRock on neo rockers, rock on\nRock on neo rockers, rock on…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",MÃ¤nner des Westens - Any Kind Of Land+Falco
20,"[""I believe I'm slowly going insane\nI've been living in a nightmare since you've gone\nI keep searchin for you night and day\nI can't take this any longer baby\nCause I know, it's getting nowhere\nYou don't wanna give in\nAnd I'm sure, there's someone somewhere\nBut I'll never let him win\nDon't let your love die\nLet's share another dream in the night\nDon't let your love die\nLet's share another dream in the night\nDon't let your love die\nI've been sitting by the phone all day\nI've been trying to send a…\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch""]",No dejes que muera tu amor+Eddie Sierra
21,[],Motivation+Farm Fresh
22,[],Cold As Ice (Single / LP Version)+Foreigner
23,[],General papa+Hypo
24,"[""Tu m'as dit des mots d'amitié, l'amour s'est glissé en moi\nAvec simplicité\nDe tous petits mots parfumés d'oiseaux sont tombés du ciel\nAvec simplicité\nJe ne crierai plus au secours\nLe chagrin d'hier tourne court\nC'est toi qui l'as tué\nAvec simplicité\nJe t'emporte dans ma chanson d'amour inventée pour toi\nAvec simplicité\nQuelle soit belle ou non, ma chanson, elle suit le fil de ta\nVoix\nAvec simplicité\nJe n'ai plus de fête sans toi\nLa seule fête pour moi\nC'est seulement de t'aimer\nAvec simplicité\nEt je sais très bien désormais\nPour qui j'ai envie de chanter\nTu me quittes une heure, je suis mort\nJe n'ai plus ni cœur ni corps, je suis désenchanté\nPar une ombre aux yeux de soleil\nQui a cambriolé presque tout mon sommeil\nAvec simplicité\nIl y a ton orage dans l'air\nIl y a…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch""]",Avec simplicitÃ©+Marc-AndrÃ© Fortin
25,"[""Why don't we all strap bombs to our chests and ride our bikes to the next g-7 picnic? it seems easier with every clock tick. but whose will would that represent? mine? yours? the rank-and-file's? or better yet: the government's? but I don't want to catalyze or synthesize the second final solution. I don't want to be the Steve smith of the revolution. do you see the analogy? we're the Oilers. the world bank- the flames! and just 2 minutes remain in the 7th game of the best of 7 series! yeah, Jesus saves! Gretzky scores! the workers slave. the rich get more. one wrong move and we risk the cup. so play the man, not the puck. why don't we plant a mechanic virus and erase the memory of the…\nTraducir al español\nFuente: LyricFind""]",Resisting Tyrannical Government+Propagandhi
26,"[""I can't get that trumpet out of my head\nI can't get that trumpet out of my head\nI woke up and I can't get that trumpet out of my head\nAnd you say you can't stand me when I'm…\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",This Trumpet In My Head+Lykke Li
27,['God jul önskar jag er alla\nGod jul önskar jag er alla\nGod jul önskar jag er alla\nOch ett gott nytt år.\nGod jul önskar vi er alla\nGod jul önskar vi er alla\nGod jul önskar vi er alla\nOch ett gott nytt år.\nWe wish you a merry Christmas\nWe wish you a merry Christmas\nWe wish you a merry Christmas\nWe wish you a merry Christmas\nAnd a happy New Year.\nGod jul önskar vi er alla\nGod jul önskar vi er alla\nGod jul önskar vi…\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch'],God Jul Ã¶nskar vi er alla+Carola
28,[],In The Pub+Close Combat
29,"[""Spring'll soon be gone (Wildwood days), summer's coming on (Wildwood days)\nAnd I'm-a dreaming of (Wildwood days) lotsa summer love\nAnd all I think about (Wildwood days) after school is out (Wildwood days)\nHeading down the shore (Wildwood days) to have a ball once more\nWhoa whoa whoa whoa those Wildwood days, wild, wild Wildwood days\nOh baby, every day?s a holiday and every night is a Saturday night\nOh those Wildwood days, wild, wild Wildwood days\nAnd then those party lights wild, wild Wildwood nights.\nSay baby you'll be mine (Wildwood days) cause it's kissing time (Wildwood days)\nGonna twist again (Wildwood days) like remember when\nSleeping on the beach (Wildwood days) seven days a week (Wildwood days)\nRocking every night (Wildwood days) till the…\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Wildwood Days+Bobby Rydell
30,"[""If we are here not to do\nWhat you and I wanna do\nAnd go forever crazy with it\nWhy the hell are we even here?\nThere was never any good old days\nThey are today, they are tomorrow\nIt's a stupid thing we say\nCursing tomorrow with sorrow\nWhen we stand here in a row\nLooking like a bunch of heroes\nI know that a deep inside\nNothing more but bunch of zeros\nSkolko utetchki tepla\nVot takaja vot subda\nNam segodnja suzdena\nA bti mezget chto kogda da-j povezet\nThere was never any good old days\nThey are today, they are tomorrow…\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Ultimate (BBC Sessions)+Gogol Bordello
31,"[""I need to just admit\nMy faith is paper thin\nI'm feeling so burned out\nOn religion\nI say an empty prayer\nI sing a tired song\nI need to just admit that the passion's gone\nAnd I want to get it back\nYou told me\nLook for You and I will find\nSo I'm here\nLike I'm searching for the first time\nRevive me, Jesus\nMake this cold heart start to move\nHelp me rediscover You\nI want to learn to pray\nThe way that David prayed\nI want my soul to burn when I hear Your name\nI want to feel like new\nI want to hunger for you\nBring me back to life like only You can do\nCause I don't want to stay the same\nYou told me\nLook for You and I will find\nSo I'm here\nLike I'm searching for the first time\nRevive me, Jesus\nMake this cold heart start to move\nHelp me rediscover…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch""]",Rediscover You+Starfield
32,[],Angelina+Jon Lucien
33,[],Panchitos beibi+Banda PequeÃ±os Musical
34,[],False Start+James Kochalka Superstar
35,"[""Hist! - The sonorous orchestral ambience and the arabesque-stanc'd ballerina,\nHer wee feel in an alacritic maelstrom-twirl,\nAnd the dust-hurl with her tears blendeth - Egad! this quagmire;\nPasteth her unaptly apt feet to the stage;\nLike the wither'd rose of the luciferous Eden\nBy the mummer'd masquerader espied vigilly and mockingly,\nHis behesting visage, tho' ruddily mummmer'd 'tis -\nEmbower'd and eddying oft and eft gloam by gloam,\nHer sweetness ne'er cloy - further! further! -\nHis scratching and dallying hollow-heartéd eyes\nHer breasts and vestal heart…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch""]",The Masquerader And Phoenix+Theatre Of Tragedy
36,"[""When you're old and gray\nLines etched upon your face\nPut your hair down\nI'll kiss your brow\nCall you beautiful\nOur love was made to last\nWe fade like photographs\nWrinkled and worn\nThe edges are torn\nUnmistakable\nI'll love your old skin\nLove your old skin\nLove your old skin\nI'll love your old skin\nWhen you're feeling tired\nWeary and uninspired\nThe life that you knew\nSeems worthless to you\nUnavoidable\nWhen your…\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch""]",Old Skin+Jeremy Messersmith
37,['A que Vuelve\nAhi donde usted lo ve\nCon la cerveza en la mano\nDiciendole a sus amigos\nQue no es feliz a mi lado\nAparece estar alegre\nPero esta fingiendo\nPor fuera se ve contento\nPero por dentro se esta muriendo\nEl no puede estar sin mi\nPorque yo soy especial\nSe que a nadie va a encontrar\nA que vuelve\nA que vuelve\nApuesto a que vuelve\nTe aseguro que vuelve\nTe lo puedo yo jurar\nDetras de mi boquita\nDetras de mis ojitos\nY de mi…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nFuente: Musixmatch'],A Que Vuelve+Gisselle
