,0_x,0_y
0,[],This Magick+Ursula 1000
1,[],Hardest Thing Outchere+Fiend
2,[],Inglewood+Oddisee
3,[],You Love to Sing (Slow Version)+Copeland
4,"[""When you're scared and fell all alone\nReach out for me\nIn the cold and dark of night\nReach out for me\nI will always be there for you\nNo matter what you say or you do\nI will always shine hard for you\nAnd light your way\nWhen the world is dragging you down\nReach out for me\nAnd when the hurting goes too deep to tear\nReach out for me\nNo matter how far away\nWhether it's night or day\nRemember I'm under the same big sky as you\nThe warmth from the sun will liberate an beautify\nSo spread your wings and soar in to the sky\nAs the dragonfly\nWhen you feeling shackled and chained\nReach out for me\nWhen you're tethered by doubt and fear\nReach out for me\nThere's nothing I wouldn't do\nI'd lay down my life for you\nI want to believe in the spell in the spell your weave\nAnd love will…\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Dragonfly+The Mission
5,[],Your Eyes [Jimmy Gomez Funky Mix]+Simply Red
6,"[""Bound and gaggd in a black pot\nSeared and flavoured with herbs and salt\nMarinated slowly in a secret sauce\nRoasted and served as sumptuous course\nThey dribble and drool as I try and get loose\nStewing slowly in my own juice\nRubbing their tummies and licking their lips\nDevoured me up and served with chips\nBy the time they're done there'll be no one left around\nJust a special bus full of mutants geeks and downs\nWe'll be beaten tender so we taste real nice\nWhen we're sliced and diced and served with rice\nBy the hobblin, wobbling, stammering spacks\nAnd the inbred freaks with misshapen backs\nDemented 'tards with missing teeth\nCutting me up and chewing on my meat\nMasticated by the spasticated\nPut me in a pot, put me in the pain\nBoil up my bones, fry my glands\nTake…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Masticated By The Spasticated+Gorerotted
7,[],Stop+Hafdis Huld
8,[],Rainmaker Feat. Patrick Rondat+Vanden Plas
9,"[""Todo mundo 'tá revendo\nO que nunca foi visto\nTodo mundo 'tá comprando\nOs mais vendidos\nÉ qualquer nota qualquer notícia\nPáginas em branco fotos coloridas\nQualquer nova qualquer notícia\nQualquer coisa que se mova\nÉ um alvo\nE ninguém 'tá salvo\nTodo mundo 'tá relendo\nO que nunca foi lido\n'Tá na Caras\n'Tá na capa da revista\nÉ qualquer nota uma nota preta\nPáginas em branco fotos coloridas\nQualquer rota, rotatividade\nQualquer coisa que se mova\nÉ um alvo\nE ninguém 'tá salvo\nUm disparo\nUm estouro\nO Papa é Pop\nO Papa é Pop\nO Pop não poupa ninguém\nO Papa levou um tiro à queima roupa\nO Pop não poupa ninguém\nUma palavra na tua camiseta\nO planeta na tua cama\nUma palavra escrita a lápis\nEternidades da semana\nQualquer coisa quase nova\nQualquer coisa que se mova\nÉ um alvo\nE ninguém 'tá…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",O Papa Ã‰ Pop+Engenheiros Do Hawaii
10,"[""Oh I, I just died in your arms tonight\nIt must have been something you said\nI just died in your arms tonight\nI keep looking for something I can't get\nBroken hearts lie all around me\nAnd I don't see an easy way to get out of this\nHer diary, it sits by the bedside table\nThe curtains are closed, the cats in the cradle\nWho would've thought that a boy like me could come to this\nOh I, I just died in your arms tonight\nIt must've been something you said\nI just died in your arms tonight\nOh I, I just died in your arms tonight\nIt must've been some kind of kiss\nI should've walked away, I should've walked away\nIs there any just cause for feeling like this?\nOn the surface, I'm a name on a list\nI try to be discreet, but then blow it again\nI've lost and found, it's my final…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",(I Just) Died In Your Arms (Extended Remix)+Cutting Crew
11,"[""Midnight, New York City.\nBroadway, going up in flames.\nGround zero, big city.\nBig Apple swallowed by the flames.\nBombs away, we never saw it coming.\nBombs away, til the bombs started falling.\nDown, to seal our fate.\nNo time to run, now it's too late.\nCountdown 5-4-3-2-1.\nThe end is near baby here it comes.\nThe neon lights of the city burn.\nAnd the sirens warn: 'Bombs over Broadway!'\nLady Liberty is laid to rest.\n'Give me liberty or give me death.'\nHer dream died with her last request.\nShe…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Bombs Over Broadway+Squad Five-0
12,[],Pop Corn+Sapoloco
13,[],Es ist over feat. Plan B & Maeckes+Franky Kubrick
14,"[""I've been through all them changes\nA lot of stuff came down\nI've dealt with all the issues\nYou might say I've been around\nBut back when I got started\nThere was a righteous sound\nIt doesn't matter what I've been through\nI'll still be diggin' on James Brown\nYa know the more things change\nThe more they stay the same\nIt may be a different age\nBut I'm on the same page\nCause one thing that I've found\nI'll still be diggin' on James Brown\nI had an attitude adjustment\nI did some psycho therapy\nI helped myself to some self-help\nI dabbled in some ESP\nThough my world is ever-changing\nAnd I move from town to town\nIt doesn't matter where I've been to\nI'll still be diggin' on James Brown\nYa know the more things change\nThe more they stay the same\nIt may be a different age\nBut I'm…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Deal With It+Tower Of Power
15,[],Coffin Nails+The Ghouls
16,[],El Dia MÃ¡s Largo+La Decada Prodigiosa
17,"[""I'm alone, yeah, I don't know if I can face the night\nI'm in tears and the cryin' that I do is for you\nI want your love\nLet's break the walls between us\nDon't make it tough\nI'll put away my pride\nEnough's enough\nI've suffered and I've seen the light\nBayayby, you're my angel\nCome and save me tonight\nYou're my angel\nCome and make it alright\nDon't know what I'm gonna do about this feeling inside\nYes it's true, loneliness took me for a ride\nWithout your love I'm nothing but a beggar\nWithout your love a dog without a bone\nWhat can I do? I'm sleepin' in this bed alone\nBayayby, you're my angel\nCome and save me tonight\nYou're my angel\nCome and make it alright\nCome and save me tonight\nYou're the reason I live\nYou're the reason I die\nYou're the reason I give when I break…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Angels+Jughead's Revenge
18,[],I Wanna Be A Style Crusader (Original)+Big Face
19,"[""Let the wounded in a world\nThey're rotting in the world\nInfection and cancer\nAre burnt in the world\nThe sickness is spreading\nAnd threatens to kill\nThe need for a cure\nTo restore it\nNo bound for glory - No small minded sheep\nNo media whores - No dishonest wimps\nNo life made of comfort - No ...\nNo talking for money - No radio waves\nNo forces of lies - No need to speak\nNo swolling their egos - just satanic greed\nRebirth of Gorgoroth\nLet the wounded in a world\nThey're rotting in the world\nInfection and cancer\nAre burnt in the world\nThe sickness is spreading\nAnd threatens to kill\nThe need for a cure\nTo restore it\nThe needle of life proudly arise\nLeaving behind…\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch""]",Rebirth+GORGOROTH
20,[],Gone Before+The Grip Weeds
21,"[""Too $hort:\nIf your a real hustler your sure to get rich.\nThis is for the hustlas, come on\nThis is for the hustlas, oh\nThis is for the hustlas, come on\nThis is for the hustlas, oh\nOh, come on, come on\nI make money like a motherfucker\nIt ain't no thang to me\nShort Dog in the house spittin' game wit Breed\nAin't no bust partner, that's the third week\nI'm going to pimp these hoes, they can't work me\nHow the hell you think I get to ride a B-12?\nThe phone and TV ended with a green smell\nI went from Oakland to Atlanta with my top down\nShort Dog, my shit is nation wide now\nYou can ask Breed or Pac it don't stop\nI ain't bull shittin' make a mill when I rock\nThree players in the game and it's a major\nBitch you want to get me better hit me on my pager …\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",It Ain't No Thang+Ant Banks
22,[],New Song+Akiko Yano
23,[],Pterodactyl Meltdown+Wizzard Sleeve
24,[],Bloodstained Nevada+Soul Embraced
25,"['There is a big click clack machine\nWhose engines don\'t pump gasoline\nIt\'s a poundin\' crazy arm that works all day\nIt\'s run by all the people who\nHave got some blueprint plan to do\nSo don\'t shake your head¨c¨cno, just nod and say ""okay""\nAnd before I knew it, I got shoved in line\nMarchin\' south in single file, and countin\' off in time\nbring that pile driver over here and be quick\nWe\'ve got to dig a hole right now, so we can put in this stick\nWe\'ve got a hundred forty-seven done, we only got a day\nSo bring that pile driver over here right away\nNow here\'s a big wide open space\nSo wipe that smile right off your face\nAnd replace it now with a look of stern regard\nIt\'s the early bird that gets the worm\nSo what happens when the worm will learn\nIt\'s the older ways…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind']",Pile Driver+Stan Ridgway
