,0_x,0_y
0,['Letras\nThat well known flame is mighty hot\nAs all of us have learned\nSo handle it with velvet gloves\nAnd you won`t get your fingers burned… Más\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nFuente: LyricFind\nDisponible en\nDeezer\nGoogle Play Música\nArtista: Duke Ellington\nGénero: Música clásica'],Take Love Easy+Duke Ellington & His Orchestra
1,[],Confusion+Xmilk
2,"[""That's right I'm elekt emerika, and this is what it's for\nA simple song to sing along, shake your head and tap your feet on the floor\nI'm alive and on your record\nSo close love, I'll be your friend when everybody else falls down\nTurning you on 'cause I'm easy\nWhy doubt or question the medicine when it feels so good\nWhy not take the high road darlin'\nIf you thought that you could darlin'\nLet's take a trip to the other side sista'\nYou got the need,…\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Elekt+Loudermilk
3,[],Crazy (Original Version)+Ruede Hagelstein
4,"[""I have finally found a way to live\nJust like I never could before\nI know that I don't have much to give,\nBut I can open any door\nEverybody knows the secret,\nEverybody knows the score, yeah yeah yeah\nI have finally found a way to live\nIn the color of the Lord\nI have finally found a place to live\nJust like I never could before\nAnd I know I don't have much to give,\nBut soon I'll open any door\nEverybody knows the secret,\nEverybody knows the score\nI have finally found a place to live, oh\nIn the presence of the Lord\nIn the presence of the Lord\nI have finally found a way to…\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Presence Of The Lord+Blind Faith
5,[],Notorious+Jesper Kyd
6,[],To The Daunted And The Dispossessed+Those Unkown
7,"[""Hey you\nWhere are you going\nYou're not leaving me today\nHey you\nWhat are you doing\nPut your things down and stay\nYou should go, you should leave\nBut without you, where would I be\nYou can run, you can hide\nGirl, I know I'll never find\nSomeone like you\nAnd I owe you like the rain owes dirt\nAnd I owe you like the love owes hurt\nHeart's like the mob\nAnd I'm willing to pay you back\nEvery dime\nI'm into you deep\nJust give me time, a way I'll find\nI'm into you deep\nOne more week at least\nI'm into you deep\nCan you take half for now\nI'm into you deep\nI wanna pay you back the love you gave me\nHey you\nWhat are you doing\nCan't you see, I'm not fighting you today\nHey you\nWhat are you saying\nThere's no such thing as separate ways\nYou should go, you should leave\nBut without you, where…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",Into You Deep+Lionel Richie
8,"[""I took my time\nLearning my lines\nTrying to sort it out\nThis life that I lead\nHas trapped my naive\nI wanna scream out loud\nLeave the past behind\nNow is my time\nI wanna see\nI wanna dream\nI wanna live a life of fantasy\nI wanna fly\nI want my life to be much more than just an alibi\nCan't you see\nI wanna be\nI wanna be\nRunning in place\nBeen out of the race\nBefore it even started\nI'm stuck at the gate\nDon't make me wait\nTo swim in a sea uncharted\nFly, sail\nA starry night\nFirst star I see tonight\nI wish for a kiss goodbye\nNow I'm flying high\nI wanna see\nI wanna dream\nI wanna live a life of fantasy\nI wanna fly\nI want my life to be much more than just an alibi\nI wanna see\nI wanna dream\nI wanna live a life of fantasy\nI wanna fly\nI want my life to be much more than just a journey\nLeading…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: LyricFind""]",I Wanna Be+Emma Roberts
9,[],Watch TV+Nasty Nardo
10,"['Oh it\'s of a lord in the north country,\nHe courted a lady gay.\nAs they were riding side by side,\nA wager she did lay.\n""Oh I\'ll wager you five hundred pound,\nFive hundred pound to one,\nThat a maid I will go to the merry greenwood,\nAnd a maid I will return.""\nSo there she sat in her mother\'s bower garden,\nThere she made her moan,\nSaying, ""Should I go to the Broomfield Hill,\nOr should I stay at home?""\nThen up and spake this witch woman,\nAs she sat on a log,\nSaying, ""You shall go to the Broomfield Hill,\nAnd a maid you shall come home.""\n""Oh when you get to the Broomfield Hill,\nYou\'ll find your love asleep.\nWith his hawk, his hound, and his silk and satin gown,\nAnd his ribbons hanging down to his feet.""\n""And pick the blossom from off the broom,\nThe blossom that smells…\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nTraducir al español\nFuente: Musixmatch']",The Broomfield Hill+Martin Carthy_ Dave Swarbrick
11,[],Actions & Words+Namosh
12,[],Go for Gold+Girls At Our Best!
